Image: unknown01.png, Predicted class: 1QD3DNA
Image: unknown02.png, Predicted class: 1QD3DNA
Image: unknown03.png, Predicted class: 1QD5DNA
Image: unknown04.png, Predicted class: 1QD3DNA
Image: unknown05.png, Predicted class: 1QD3DNA
Image: unknown06.png, Predicted class: 1QD3DNA
Image: unknown07.png, Predicted class: 1QD2DNA
Image: unknown08.png, Predicted class: 1QD3DNA
Image: unknown09.png, Predicted class: 1QD4DNA
Image: unknown10.png, Predicted class: 1QD4DNA
Image: unknown11.png, Predicted class: 1QD3DNA
Image: unknown12.png, Predicted class: 1QD2DNA
Image: unknown13.png, Predicted class: 1QD3DNA
Image: unknown14.png, Predicted class: 1QD3DNA
Image: unknown15.png, Predicted class: 1QD3DNA
Image: unknown16.png, Predicted class: 1QD2DNA
Image: unknown17.png, Predicted class: 1QD3DNA
Image: unknown18.png, Predicted class: 1QD3DNA
Image: unknown19.png, Predicted class: 1QD3DNA
Image: unknown20.png, Predicted class: 1QD3DNA
accuracy 0.3402777777777778
