#Epochs / accuracy	AlexNet	std	VGG16	std	VGG19	std	GoogLeNet	std	ResNet18	std	ResNet34	std	ResNet50	std	ResNet101	std	ResNet152	std
1	42.08333333	5.821195485	16.11111111	3.44588779	15.90277778	3.907171531	26.25	7.869008597	38.125	4.055222589	33.19444444	5.406963452	18.26388889	3.402856512	17.91666667	5.153258189	17.70833333	4.978197493
2	55.625	5.636467126	19.44444444	7.753765845	20	7.267191433	41.80555556	4.315748588	53.26388889	5.22810035	56.45833333	8.092256222	25.20833333	5.248558656	25.55555556	3.583106032	25.90277778	4.811809069
3	62.22222222	4.35775801	21.66666667	8.083974986	27.08333333	12.24884866	50	5.399029532	66.45833333	5.339651126	72.29166667	4.860559933	33.19444444	2.831274972	32.91666667	5.912528258	37.29166667	6.531306506
4	66.80555556	5.534295742	25.27777778	14.72848108	38.26388889	12.35968052	55	4.875419858	71.73611111	3.556839323	75.27777778	4.33309591	38.68055556	4.023385217	37.15277778	4.169880448	42.01388889	6.638717778
5	68.19444444	4.438170726	29.02777778	11.91533922	36.25	12.22169612	59.51388889	3.996660343	75.97222222	3.574122049	80.90277778	3.178131995	42.36111111	4.355298084	42.63888889	5.460215882	50	5.660657065
6	73.95833333	4.644074687	34.23611111	11.72151459	46.80555556	13.22972865	63.47222222	3.260521641	79.51388889	3.559851041	82.56944444	3.907171531	48.19444444	4.514779114	49.93055556	3.837988094	56.04166667	5.68002918
7	75.20833333	3.174758181	37.5	8.820629113	51.04166667	12.02924427	67.56944444	3.87411767	79.86111111	2.360657182	83.81944444	3.449773108	53.81944444	4.913191036	56.18055556	3.961648493	60.83333333	6.589704944
8	79.02777778	5.058810511	46.25	12.64151716	54.86111111	13.61614923	70.41666667	2.85764803	82.22222222	3.16037929	83.26388889	3.23163403	56.94444444	7.013545096	63.95833333	4.771551535	64.23611111	5.460706533
9	80.27777778	4.394491657	52.15277778	10.8843075	59.72222222	10.33662665	72.98611111	3.547788826	82.43055556	2.759391309	85.34722222	4.298954518	64.16666667	3.889991025	67.22222222	5.872516841	67.5	4.809024296
10	81.80555556	3.153590068	61.80555556	9.972527421	61.45833333	7.336538885	75.41666667	2.663546271	82.98611111	2.498499207	84.44444444	3.373599389	64.09722222	6.107339605	70.90277778	5.065690729	70.90277778	4.159587608
11	80.41666667	6.016737628	63.47222222	8.960456491	66.38888889	7.113678645	75.27777778	3.039379178	84.09722222	2.668570886	85	3.227486122	69.51388889	4.397538944	73.54166667	3.592813328	72.77777778	4.730385102
12	84.09722222	5.118306295	64.79166667	10.30053578	73.40277778	5.893011165	76.94444444	2.378746774	82.98611111	2.78259613	85.06944444	3.574871577	72.5	2.296221624	75.48611111	2.778742117	73.68055556	4.055222589
13	83.88888889	4.604096256	68.68055556	9.302272776	70	4.973351482	78.19444444	1.799014743	83.61111111	3.889991025	85.69444444	3.662970453	72.5	5.93062603	75.13888889	3.351289087	73.61111111	4.416385192
14	84.86111111	3.18739157	70.69444444	5.456289081	73.26388889	4.913191036	77.91666667	2.239516041	83.81944444	2.680591537	84.79166667	3.04378344	75.34722222	4.814035728	76.31944444	3.651982615	74.09722222	4.023385217
15	87.01388889	3.071821185	71.66666667	4.973351482	71.04166667	9.242171733	78.19444444	2.272766242	83.68055556	2.704472557	85.41666667	3.46449758	74.72222222	3.998670904	76.38888889	3.746855106	74.79166667	4.465253178
16	84.51388889	3.776058296	72.08333333	8.319175216	75.20833333	4.548478582	77.91666667	2.48882964	83.61111111	2.663546271	85.48611111	3.837988094	76.31944444	4.336186343	77.77777778	4.062483513	75.34722222	3.574871577
17	86.875	2.415628768	76.11111111	5.470020551	76.11111111	4.813479159	78.75	2.296221624	84.16666667	3.153590068	86.04166667	3.637280532	76.73611111	3.468362052	77.77777778	4.811252243	74.72222222	4.418811111
18	86.25	2.924372537	80.97222222	2.643352301	77.22222222	5.981008467	79.65277778	2.122825281	83.47222222	2.510266984	85.55555556	3.44588779	77.01388889	3.377567864	76.94444444	3.335261788	75.97222222	3.834496156
19	87.15277778	3.452878215	77.63888889	5.743353647	79.09722222	5.333626696	79.02777778	2.215460391	83.54166667	3.089215555	85.13888889	3.039379178	77.5	2.85764803	77.22222222	4.401801601	75.97222222	2.876337883
