#Epochs / loss	AlexNet	std	VGG16	std	VGG19	std	GoogLeNet	std	ResNet18	std	ResNet34	std	ResNet50	std	ResNet101	std	ResNet152	std
1	1.678611524	0.044948686	1.810123285	0.008425317	1.812252495	0.006196993	1.783838642	0.015640757	1.729182388	0.006201995	1.729182388	0.006201995	1.687972375	0.031325661	1.788945292	0.003601972	1.78845725	0.00833666
2	1.184360266	0.053283157	1.79537311	0.015358289	1.782362125	0.046923789	1.608838985	0.015124877	1.197716686	0.023408536	1.197716686	0.023408536	1.014936327	0.019406612	1.754073169	0.005161669	1.730055812	0.01322913
3	0.931410908	0.049082853	1.764173492	0.062547366	1.667744704	0.164792447	1.420462794	0.017188612	0.831037501	0.022510071	0.831037501	0.022510071	0.577197137	0.017462928	1.696360518	0.009436948	1.635149506	0.025044357
4	0.758305999	0.074123048	1.695404153	0.177603123	1.534990802	0.236569372	1.239792858	0.022945747	0.565520623	0.021489307	0.565520623	0.021489307	0.30808983	0.016289331	1.611903217	0.016175027	1.480137017	0.043152357
5	0.631753339	0.055891734	1.620041578	0.269443796	1.386525387	0.284889268	1.060941695	0.025732054	0.371582748	0.019767413	0.371582748	0.019767413	0.168113793	0.014732748	1.47595313	0.028538707	1.26941155	0.056047264
6	0.507685031	0.051754728	1.537684874	0.265509073	1.235915554	0.300755219	0.902266722	0.027480854	0.241714204	0.01365041	0.241714204	0.01365041	0.097537037	0.011698917	1.306351587	0.040528527	1.030888263	0.063891642
7	0.405322601	0.045653472	1.410997627	0.300328539	1.107107917	0.291687559	0.75984664	0.024805742	0.150289654	0.009237753	0.150289654	0.009237753	0.059226447	0.007235941	1.100423905	0.058685297	0.792900563	0.072304757
8	0.313055974	0.051147905	1.287481215	0.276747936	0.971163811	0.296895984	0.630559456	0.039093228	0.103194261	0.006560348	0.103194261	0.006560348	0.03980055	0.005102278	0.899797153	0.075585204	0.57112807	0.062078565
9	0.25683966	0.039612753	1.117708895	0.319721403	0.859143491	0.228546119	0.523284968	0.033213684	0.074342626	0.008379334	0.074342626	0.008379334	0.031474539	0.005238958	0.699768151	0.089907151	0.405830992	0.055297845
10	0.202970199	0.041765382	0.962143042	0.272723617	0.775356844	0.243861311	0.413568986	0.028973168	0.055610999	0.00305276	0.055610999	0.00305276	0.024707135	0.002050705	0.519553492	0.093974691	0.27386397	0.034380698
11	0.17904858	0.0460871	0.874284475	0.24266843	0.699174849	0.2201623	0.329725421	0.037757802	0.043911153	0.003888562	0.043911153	0.003888562	0.019801021	0.00204009	0.379291428	0.094684184	0.184781473	0.035746347
12	0.148420552	0.033210837	0.74591734	0.235002157	0.570699999	0.224011494	0.262009777	0.032967128	0.037396531	0.003507013	0.037396531	0.003507013	0.016612589	0.001510032	0.27203109	0.074643945	0.129890168	0.026582416
13	0.120117717	0.026793114	0.694463184	0.223320452	0.500732874	0.163348738	0.205365549	0.021142898	0.030251257	0.002199194	0.030251257	0.002199194	0.014753546	0.001599481	0.194859626	0.062242987	0.089253636	0.014518831
14	0.100572671	0.02411488	0.544118415	0.196739491	0.467878905	0.176429517	0.165285792	0.020877195	0.025274379	0.001796177	0.025274379	0.001796177	0.012855283	0.001402913	0.134323567	0.045981001	0.065745463	0.008715576
15	0.083007296	0.020066912	0.441639714	0.156911339	0.411598892	0.161001404	0.134429375	0.016048928	0.021641498	0.001697337	0.021641498	0.001697337	0.011501312	0.001126516	0.102205225	0.034884928	0.048663498	0.005762096
16	0.076739797	0.021545699	0.452752372	0.209538807	0.364860028	0.148886872	0.112356595	0.014697095	0.018970135	0.001532044	0.018970135	0.001532044	0.011017039	0.001356717	0.073548243	0.022039737	0.044207686	0.012783963
17	0.061699716	0.019506118	0.36933359	0.148826307	0.269491411	0.123229408	0.093202184	0.008584644	0.017628411	0.001864179	0.017628411	0.001864179	0.009437127	0.001290386	0.055457292	0.013621137	0.038520895	0.011190893
18	0.063206985	0.020202409	0.304869306	0.118858949	0.278353156	0.19907638	0.082516582	0.010070327	0.016987362	0.003651964	0.016987362	0.003651964	0.009734156	0.001804325	0.046560007	0.011279109	0.02832519	0.005751989
19	0.064239581	0.020348157	0.26578705	0.143965614	0.250218256	0.135157192	0.069754898	0.010984341	0.014971471	0.002425995	0.014971471	0.002425995	0.0093797	0.00187486	0.039072575	0.013467176	0.027318863	0.005931935
20	0.048044174	0.024790445	0.211115162	0.116942746	0.254860016	0.149619635	0.060432027	0.010406969	0.012748917	0.001839745	0.012748917	0.001839745	0.008343453	0.000712989	0.032950628	0.006254996	0.02337894	0.003131195
21	0.036455486	0.015738401	0.15788749	0.070469568	0.186372735	0.118546409	0.05156613	0.008407582	0.012064904	0.001549251	0.012064904	0.001549251	0.00761772	0.00171331	0.029723553	0.009154652	0.02004728	0.004435159
22	0.036803287	0.020345506	0.136449259	0.052564093	0.130492963	0.095457188	0.04739941	0.005703984	0.011509873	0.001458365	0.011509873	0.001458365	0.007248999	0.00123196	0.026732647	0.007444259	0.017142668	0.002717635
23	0.035643523	0.016411053	0.137557528	0.06548738	0.176601268	0.153420621	0.041733402	0.005058052	0.010774891	0.001422695	0.010774891	0.001422695	0.007094385	0.001074552	0.021896411	0.003214482	0.01563945	0.005265199
24	0.037983934	0.028344159	0.101950562	0.052376774	0.151160036	0.084408683	0.040752052	0.004576673	0.009662156	0.001019957	0.009662156	0.001019957	0.005690479	0.000720489	0.023163795	0.005375455	0.014084593	0.003634788
25	0.03600102	0.028716059	0.090309273	0.047304078	0.132546259	0.070262721	0.035869113	0.00335873	0.009009039	0.001310747	0.009009039	0.001310747	0.00640679	0.002367208	0.01950883	0.006414469	0.012769551	0.002056072
26	0.03344845	0.034568819	0.07734011	0.063191295	0.12384527	0.114277114	0.033575185	0.003266007	0.00863581	0.001477103	0.00863581	0.001477103	0.006951115	0.004224256	0.017696028	0.004872784	0.011545977	0.001619381
27	0.022055239	0.010770236	0.074007582	0.058265054	0.07371284	0.052947503	0.030225771	0.003349817	0.007583839	0.000421805	0.007583839	0.000421805	0.005941086	0.002247599	0.018278218	0.005671759	0.010945889	0.001716785
28	0.018766066	0.008252374	0.080753984	0.04717321	0.065621324	0.044078694	0.026140889	0.002078725	0.008369527	0.001719375	0.008369527	0.001719375	0.005229971	0.001687046	0.015720418	0.004639116	0.010685629	0.002243108
29	0.017569224	0.006146876	0.05744793	0.036569289	0.091444545	0.089264046	0.024553086	0.001995128	0.006664629	0.00072224	0.006664629	0.00072224	0.004780111	0.001040554	0.014524556	0.003739812	0.009862522	0.001978326
30	0.017113475	0.010559758	0.050755386	0.058478623	0.088675213	0.066163434	0.023130913	0.002350681	0.007232611	0.000979256	0.007232611	0.000979256	0.004735822	0.000523296	0.015923466	0.006924903	0.010608021	0.004384575
