#TrainingEpoch	Alex	VGG16	VGG19	GoogLe	Res18	Res34	Res50	Res101	Res152
1	1.399463826	1.793759215	1.779274727	1.747342094	1.545684955	1.472226774	1.770630027	1.76404516	1.759201559
2	0.674029296	1.692799165	1.501833965	1.444905165	0.770299238	0.559892604	1.652292716	1.587799887	1.551122481
3	0.400483428	1.507277101	1.069455412	1.147768453	0.384122771	0.214440684	1.457968203	1.324093044	1.235523648
4	0.245524001	1.208552194	0.887149808	0.895964105	0.209100423	0.095370673	1.199214906	1.003996465	0.884548826
5	0.147858632	1.013924071	0.601020404	0.694423932	0.124579068	0.054298473	0.927003199	0.701933614	0.577829537
6	0.111647025	0.798973487	0.378282828	0.526899975	0.082331725	0.036508598	0.672284601	0.449893497	0.371721982
7	0.070867029	0.57437972	0.333642068	0.397231831	0.057797976	0.029417528	0.468341603	0.278038744	0.225318666
8	0.047443331	0.524587203	0.19578684	0.304150162	0.044393283	0.022530047	0.303143194	0.16487226	0.137657073
9	0.034020673	0.356664838	0.180862775	0.229753218	0.033564741	0.018512129	0.202781497	0.112939394	0.093661619
10	0.021891232	0.219000245	0.11599658	0.181546292	0.028182181	0.016419726	0.141641737	0.08227487	0.062903773
11	0.030015078	0.154572072	0.084443641	0.142094469	0.025300077	0.013648553	0.09819877	0.056409497	0.050219089
12	0.021896697	0.122884992	0.035939923	0.109870806	0.021333973	0.013622936	0.070282298	0.046907286	0.039235739
13	0.013166306	0.100188158	0.029338318	0.098091495	0.019290762	0.011643967	0.055005643	0.036669186	0.030314971
14	0.013951389	0.058963522	0.023757651	0.080795823	0.017276244	0.01010787	0.040773287	0.031870183	0.025593577
15	0.012144958	0.056422201	0.026064831	0.066328065	0.015525978	0.009907279	0.035086225	0.025686985	0.020599542
16	0.00831271	0.057299769	0.013308957	0.059180949	0.014694262	0.008671788	0.029864957	0.022110382	0.018539903
17	0.005950195	0.037035868	0.019080987	0.050584721	0.012317346	0.007764307	0.025339471	0.020445328	0.016832152
18	0.006294697	0.016856847	0.019403597	0.04542055	0.011604293	0.007651126	0.023185972	0.018905643	0.016259918
19	0.006703512	0.011040939	0.005634334	0.042530794	0.011022914	0.007074578	0.020524243	0.01744667	0.013254842
20	0.007920735	0.017229623	0.00324131	0.038682854	0.01018443	0.00669572	0.017046515	0.014807157	0.012601508
21	0.005969593	0.055959441	0.001484213	0.033752229	0.009933969	0.006344257	0.016405552	0.013485139	0.011984392
22	0.00421881	0.079472817	0.000720842	0.031796512	0.008813072	0.005752404	0.014364014	0.013582835	0.010193749
23	0.004346406	0.02484356	0.001914423	0.028382165	0.008371717	0.005499094	0.014827143	0.013085901	0.009211958
