Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,1.7114450732866924,27.256944444444443,1.4023484230041503,34.02777777777778
2,1.0261982017093234,56.076388888888886,0.6501138210296631,75.0
3,0.5848623861869177,76.73611111111111,0.41134260296821595,86.80555555555556
4,0.38426649073759717,85.59027777777777,0.5572349280118942,86.11111111111111
5,0.2211514218813843,91.84027777777777,0.211682553589344,90.27777777777777
6,0.16022298143555722,95.3125,1.0311043500900268,62.5
7,0.4567705790201823,83.15972222222223,0.3094302773475647,86.80555555555556
8,0.11369789308971828,96.00694444444444,0.22356067448854447,94.44444444444444
9,0.08040690776478085,96.70138888888889,0.34289461076259614,88.88888888888889
10,0.0687167528602812,97.56944444444444,0.03376342142000795,100.0
11,0.014400292272006886,99.47916666666667,0.009570638788864017,100.0
12,0.0018342292266121756,100.0,0.0052222286874894054,100.0
13,0.003329757187101576,100.0,0.003056779195321724,100.0
14,0.0010780237894828639,100.0,0.005068195750936866,100.0
15,0.0025268259224604764,100.0,0.0018142335524316878,100.0
16,0.0022393630796513106,99.82638888888889,0.002552918635774404,100.0
17,0.0005764882520856594,100.0,0.0016130793723277748,100.0
18,0.00047067635952973634,100.0,0.0035655861254781486,100.0
19,0.0006643469105256372,100.0,0.001421150643727742,100.0
20,0.0005654084515198418,100.0,0.001880553169758059,100.0
21,0.00020680383527683766,100.0,0.001944316242588684,100.0
22,0.00023639822997109959,100.0,0.001589033383061178,100.0
23,0.00022080179163215993,100.0,0.0012392207398079335,100.0
24,0.000126227541285415,100.0,0.001050296681933105,100.0
25,0.0003705472746433871,100.0,0.0014562928619852756,100.0
26,0.001548946005035153,100.0,0.00915066474408377,99.30555555555556
27,0.0010091071437980442,100.0,0.007898226805264131,100.0
28,0.0004408702431343651,100.0,0.0007223989407066256,100.0
29,8.14402802562755e-05,100.0,0.00048055431398097426,100.0
30,7.881430451561755e-05,100.0,0.00041987444055848757,100.0
31,9.995639308928933e-05,100.0,0.00041911119333235545,100.0
32,0.0003368980243168254,100.0,0.0008222478849347681,100.0
33,0.0002321794393841022,100.0,0.0010471465589944272,100.0
34,7.49341692325187e-05,100.0,0.0008333717647474259,100.0
35,6.884408468168759e-05,100.0,0.000557803362607956,100.0
36,6.638010405721515e-05,100.0,0.00045389054430415853,100.0
37,3.934935605482476e-05,100.0,0.0003636313442257233,100.0
38,6.502594823763907e-05,100.0,0.0003910682593414094,100.0
39,9.255900613425183e-05,100.0,0.00034014660632237793,100.0
40,3.8482187171161466e-05,100.0,0.00036910218550474384,100.0
41,6.115252770339591e-05,100.0,0.0002735759400820825,100.0
42,3.605547282050894e-05,100.0,0.0003041548465262167,100.0
43,5.11212984595962e-05,100.0,0.000273582486261148,100.0
44,4.638174675619666e-05,100.0,0.0002706034138100222,100.0
45,0.00013103288420602944,100.0,0.0003353560543473577,100.0
46,8.903199392938809e-05,100.0,0.0004743311736092437,100.0
47,3.595590693647763e-05,100.0,0.0005493765827850438,100.0
48,3.6140365687565966e-05,100.0,0.0005380402588343713,100.0
49,7.662984536535887e-05,100.0,0.00047645167524024146,100.0
50,3.998047829946295e-05,100.0,0.00044408321191440335,100.0
51,6.909010715440268e-05,100.0,0.0006597753592359368,100.0
52,3.161806644887596e-05,100.0,0.00037638062131009067,100.0
53,3.414407703732852e-05,100.0,0.00035448713060759474,100.0
54,7.991204033588574e-05,100.0,0.0003445428046688903,100.0
55,7.712705956287714e-05,100.0,0.00031856036075623707,100.0
56,7.608987352290974e-05,100.0,0.00031133271113503724,100.0
57,9.817260372813053e-05,100.0,0.0003166064925608225,100.0
