#Training AccEpoch	Alex	VGG16	VGG19	GoogLe	Res18	Res34	Res50	Res101	Res152
1	43.47222222	18.69791667	20.65972222	25.43402778	39.86111111	46.04166667	23.21180556	24.91319444	25.39930556
2	72.76041667	27.95138889	37.29166667	60.95486111	84.75694444	92.44791667	48.85416667	57.77777778	59.13194444
3	84.56597222	38.54166667	56.84027778	79.84375	96.90972222	98.94097222	65.10416667	71.49305556	78.21180556
4	90.59027778	50.9375	63.35069444	88.02083333	99.11458333	99.91319444	77.06597222	84.02777778	86.71875
5	95.15625	59.09722222	76.18055556	92.34375	99.80902778	99.98263889	86.16319444	92.93402778	93.57638889
6	96.31944444	67.41319444	85.41666667	95.19097222	99.94791667	100	90.90277778	96.63194444	97.06597222
7	97.67361111	77.08333333	87.10069444	97.44791667	100	100	95.19097222	98.76736111	98.87152778
8	98.64583333	79.91319444	92.63888889	98.48958333	100	100	98.09027778	99.65277778	99.67013889
9	99.14930556	86.64930556	93.61111111	99.18402778	100	100	99.0625	99.80902778	99.6875
10	99.49652778	91.80555556	96.05902778	99.61805556	100	100	99.47916667	99.77430556	99.93055556
11	99.0625	94.25347222	97.15277778	99.67013889	100	100	99.70486111	99.91319444	99.93055556
12	99.375	95.64236111	99.01041667	99.93055556	100	100	99.87847222	99.93055556	99.87847222
13	99.75694444	96.44097222	99.01041667	99.93055556	100	100	99.89583333	99.93055556	99.96527778
14	99.63541667	97.86458333	99.07986111	99.94791667	100	100	99.98263889	99.96527778	99.98263889
15	99.70486111	98.31597222	99.16666667	99.94791667	100	99.98263889	99.96527778	99.96527778	100
16	99.84375	98.00347222	99.51388889	99.98263889	100	100	99.98263889	99.98263889	99.98263889
17	99.87847222	98.73263889	99.32291667	99.98263889	100	100	99.98263889	100	100
18	99.84375	99.46180556	99.35763889	100	100	100	99.96527778	99.93055556	99.98263889
19	99.84375	99.58333333	99.82638889	99.96527778	100	100	99.98263889	99.96527778	100
20	99.80902778	99.40972222	99.91319444	99.96527778	100	100	99.98263889	99.94791667	99.98263889
21	99.89583333	98.45486111	100	99.98263889	100	100	99.98263889	99.98263889	99.98263889
22	99.93055556	97.10069444	100	99.98263889	100	100	99.98263889	99.96527778	100
23	99.93055556	99.32291667	99.96527778	100	100	100	99.96527778	99.94791667	100
24	99.94791667	99.91319444	99.93055556	100	100	100	99.98263889	99.94791667	99.98263889
25	99.82638889	99.89583333	99.98263889	100	100	100	100	99.93055556	100
26	99.94791667	99.86111111	100	100	100	100	100	99.93055556	99.96527778
27	99.94791667	99.96527778	99.98263889	100	100	100	100	100	100
28	99.94791667	99.93055556	100	100	100	100	100	99.98263889	100
29	99.93055556	99.86111111	99.96527778	100	100	100	100	100	100
30	99.94791667	99.93055556	100	100	100	100	100	99.96527778	100
31	99.98263889	99.98263889	100	100	100	100	100	100	100
32	100	99.98263889	100	100	100	100	100	99.98263889	99.98263889
33	99.93055556	99.96527778	100	100	100	100	99.98263889	99.98263889	100
34	99.94791667	99.98263889	100	100	100	100	100	99.98263889	100
35	99.93055556	99.94791667	100	100	100	100	100	100	100
36	99.94791667	99.93055556	100	100	100	100	100	100	100
37	99.91319444	99.93055556	100	99.98263889	100	100	100	100	100
38	100	99.67013889	100	100	100	100	100	100	99.98263889
39	99.96527778	98.36033951	100	99.98263889	100	100	99.98263889	100	100
40	100	99.82638889	100	100	100	100	100	100	99.98263889
41	99.94791667	99.92559524	100	100	100	100	99.96527778	100	100
42	100	99.97519841	100	100	100	100	100	100	99.98263889
43	99.94791667	100	100	100	100	100	100	100	100
44	99.93055556	100	100	100	100	100	100	100	100
45	99.80902778	99.98070988	100	100	100	100	100	100	99.96527778
46	99.87847222	100	100	99.96527778	100	100	100	100	100
47	99.96527778	99.95659722	100	100	100	100	100	99.98263889	100
48	99.93055556	100	100	100	100	100	100	100	100
49	99.89583333	100	100	100	100	100	100	100	100
50	99.98263889	100	100	100	100	100	100	100	100
51	99.98263889	100	100	100	100	100	99.93055556	99.96527778	99.98263889
